Job_Title,Location,machine_learning,hadoop,tableau,lat,long
Data Scientist,TX,0,0,0,31,-100
Digital Media Data Scientist,CO,0,0,0,39.113014,-105.358887
Data Scientist II- Clayton (Full Time),MO,0,0,0,38.573936,-92.60376
Data Scientist - Generalist,CA,0,0,0,36.778259,-119.417931
Data Scientist,MN,0,0,0,45.376584,-68.972168
Sr Data Scientist,MN,1,0,0,45.376584,-68.972168
Data Scientist,TX,0,0,0,31,-100
Data Scientist I (664803),CO,0,0,0,39.113014,-105.358887
Sr Data Scientist,FL,1,0,0,27.994402,-81.760254
Principal-Data Scientist,TX,1,0,0,31,-100
Data Scientist,NE,1,0,1,41.5,-100
Enterprise Data Scientist,TX,0,0,0,31,-100
Data Scientist,MN,0,0,0,45.376584,-68.972168
Consumer Banking Data Scientist,GA,0,0,0,33.247875,-83.441162
Data Scientist,VA,0,0,1,44,-72.699997
Senior Associate Data Scientist,CA,1,0,0,36.778259,-119.417931
Data Scientist,VA,1,1,0,44,-72.699997
Data Scientist - Cancer Dependency Map,MA,1,0,0,45.376584,-68.972168
Data Scientist for Autonomous Systems,CA,1,0,0,36.778259,-119.417931
New Account Fraud Data Scientist,NC,1,0,1,35.782169,-80.793457
Analytics Data Scientist,CO,1,1,0,39.113014,-105.358887
Data Scientist,WI,1,0,0,44.5,-89.5
Data Scientist,MD,1,0,0,39.045753,-76.641273
Statistician (Data Scientist),CA,1,0,0,36.778259,-119.417931
Data Scientist Information Manager,NM,0,0,0,34.307144,-106.018066
Senior Data Scientist,GA,1,0,0,33.247875,-83.441162
Consumer Banking Data Scientist,GA,0,0,0,33.247875,-83.441162
Data Scientist I - Agent Based Modeler (Java/Python),TX,1,0,0,31,-100
Federal - Data Scientist,TX,0,0,0,31,-100
Data Scientist,FL,1,1,1,27.994402,-81.760254
Data Scientist,AZ,0,0,1,34.048927,-11.093735
Lead Data Scientist,MI,1,0,0,44.182205,-84.506836
Data Scientist,AZ,1,0,1,34.048927,-11.093735
Data Scientist,OH,0,0,1,40.367474,-82.996216
Data Scientist,VA,0,0,0,44,-72.699997
IRES - Data Scientist (AS0003XO),CO,0,0,0,39.113014,-105.358887
IRES - Data Scientist,CO,0,0,0,39.113014,-105.358887
Data Scientist,NC,1,0,0,35.782169,-80.793457
"AVP - Data Scientist - New York, NY",NY,1,1,0,43,-75
Senior Data Scientist,GA,1,0,0,33.247875,-83.441162
