Location,Job_Type,machine_learning,hadoop,tableau,lat,long
CO,data_engineer,0,1,1,39.113014,-105.358887
CO,data_engineer,0,1,0,39.113014,-105.358887
CO,data_engineer,0,1,0,39.113014,-105.358887
CO,data_engineer,1,0,0,39.113014,-105.358887
CO,data_engineer,0,1,0,39.113014,-105.358887
CO,data_engineer,0,1,0,39.113014,-105.358887
CO,data_engineer,1,1,0,39.113014,-105.358887
CO,data_engineer,0,1,0,39.113014,-105.358887
CO,data_engineer,0,1,0,39.113014,-105.358887
CO,data_engineer,0,1,0,39.113014,-105.358887
CO,data_engineer,1,1,1,39.113014,-105.358887
CO,data_engineer,1,1,1,39.113014,-105.358887
CT,data_engineer,0,0,0,41.599998,-72.699997
CT,data_engineer,0,0,0,41.599998,-72.699997
CT,data_engineer,0,1,0,41.599998,-72.699997
CT,data_engineer,0,1,0,41.599998,-72.699997
CT,data_engineer,0,1,0,41.599998,-72.699997
CT,data_engineer,0,1,0,41.599998,-72.699997
CT,data_engineer,0,1,0,41.599998,-72.699997
CT,data_engineer,0,1,0,41.599998,-72.699997
CT,data_engineer,0,1,0,41.599998,-72.699997
CT,data_engineer,0,0,0,41.599998,-72.699997
CT,data_engineer,1,1,0,41.599998,-72.699997
CT,data_engineer,0,1,0,41.599998,-72.699997
CT,data_engineer,1,0,0,41.599998,-72.699997
CT,data_engineer,1,1,0,41.599998,-72.699997
DC,data_engineer,0,0,0,47.751076,-120.740135
DC,data_engineer,0,1,0,47.751076,-120.740135
DC,data_engineer,0,1,1,47.751076,-120.740135
DC,data_engineer,1,1,0,47.751076,-120.740135
DC,data_engineer,0,0,0,47.751076,-120.740135
DC,data_engineer,0,1,0,47.751076,-120.740135
DC,data_engineer,0,0,1,47.751076,-120.740135
DC,data_engineer,0,0,0,47.751076,-120.740135
DC,data_engineer,0,0,0,47.751076,-120.740135
DC,data_engineer,0,1,0,47.751076,-120.740135
DC,data_engineer,1,0,0,47.751076,-120.740135
DC,data_engineer,0,1,0,47.751076,-120.740135
DC,data_engineer,0,1,0,47.751076,-120.740135
DC,data_engineer,0,1,0,47.751076,-120.740135
DC,data_engineer,1,0,0,47.751076,-120.740135
DC,data_engineer,1,0,0,47.751076,-120.740135
DC,data_engineer,0,1,0,47.751076,-120.740135
DC,data_engineer,0,0,0,47.751076,-120.740135
DC,data_engineer,0,1,0,47.751076,-120.740135
DC,data_engineer,0,1,0,47.751076,-120.740135
DC,data_engineer,0,1,0,47.751076,-120.740135
DC,data_engineer,1,1,0,47.751076,-120.740135
DC,data_engineer,0,1,0,47.751076,-120.740135
DC,data_engineer,0,1,0,47.751076,-120.740135
DE,data_engineer,0,1,0,39,-75.5
DE,data_engineer,0,0,0,39,-75.5
DE,data_engineer,0,1,0,39,-75.5
DE,data_engineer,0,1,0,39,-75.5
FL,data_engineer,0,0,0,27.994402,-81.760254
FL,data_engineer,0,0,0,27.994402,-81.760254
FL,data_engineer,1,0,1,27.994402,-81.760254
FL,data_engineer,1,0,1,27.994402,-81.760254
FL,data_engineer,0,0,0,27.994402,-81.760254
FL,data_engineer,0,0,0,27.994402,-81.760254
FL,data_engineer,0,0,0,27.994402,-81.760254
FL,data_engineer,0,0,0,27.994402,-81.760254
FL,data_engineer,0,0,0,27.994402,-81.760254
FL,data_engineer,0,1,0,27.994402,-81.760254
FL,data_engineer,0,0,0,27.994402,-81.760254
FL,data_engineer,0,0,0,27.994402,-81.760254
FL,data_engineer,0,1,0,27.994402,-81.760254
FL,data_engineer,0,1,0,27.994402,-81.760254
FL,data_engineer,0,1,0,27.994402,-81.760254
FL,data_engineer,0,0,1,27.994402,-81.760254
GA,data_engineer,0,0,0,33.247875,-83.441162
GA,data_engineer,0,0,1,33.247875,-83.441162
GA,data_engineer,0,0,0,33.247875,-83.441162
GA,data_engineer,0,1,1,33.247875,-83.441162
GA,data_engineer,0,0,0,33.247875,-83.441162
GA,data_engineer,0,1,1,33.247875,-83.441162
GA,data_engineer,0,1,0,33.247875,-83.441162
GA,data_engineer,0,1,1,33.247875,-83.441162
GA,data_engineer,0,1,1,33.247875,-83.441162
GA,data_engineer,0,0,0,33.247875,-83.441162
GA,data_engineer,0,1,0,33.247875,-83.441162
GA,data_engineer,0,1,0,33.247875,-83.441162
GA,data_engineer,0,1,0,33.247875,-83.441162
GA,data_engineer,0,0,0,33.247875,-83.441162
GA,data_engineer,0,1,0,33.247875,-83.441162
GA,data_engineer,0,0,0,33.247875,-83.441162
GA,data_engineer,0,1,1,33.247875,-83.441162
GA,data_engineer,0,1,0,33.247875,-83.441162
GA,data_engineer,0,0,0,33.247875,-83.441162
GA,data_engineer,0,0,0,33.247875,-83.441162
GA,data_engineer,0,1,0,33.247875,-83.441162
GA,data_engineer,0,1,0,33.247875,-83.441162
GA,data_engineer,0,1,0,33.247875,-83.441162
GA,data_engineer,1,1,0,33.247875,-83.441162
IA,data_engineer,0,0,0,42.032974,-93.581543
IA,data_engineer,0,0,0,42.032974,-93.581543
IA,data_engineer,0,0,0,42.032974,-93.581543
IA,data_engineer,0,1,0,42.032974,-93.581543
IA,data_engineer,0,0,0,42.032974,-93.581543
IA,data_engineer,0,1,0,42.032974,-93.581543
IA,data_engineer,0,0,0,42.032974,-93.581543
IA,data_engineer,0,0,0,42.032974,-93.581543
IA,data_engineer,0,0,0,42.032974,-93.581543
IA,data_engineer,0,0,0,42.032974,-93.581543
IA,data_engineer,0,0,0,42.032974,-93.581543
IL,data_engineer,0,0,1,40,-89
IL,data_engineer,0,0,0,40,-89
IL,data_engineer,0,0,0,40,-89
IL,data_engineer,0,1,1,40,-89
IL,data_engineer,0,0,0,40,-89
IL,data_engineer,0,1,0,40,-89
IL,data_engineer,0,0,0,40,-89
IL,data_engineer,0,0,0,40,-89
IL,data_engineer,0,0,0,40,-89
IL,data_engineer,0,1,1,40,-89
IL,data_engineer,0,1,0,40,-89
IL,data_engineer,0,1,0,40,-89
IL,data_engineer,0,1,0,40,-89
IL,data_engineer,0,0,0,40,-89
IL,data_engineer,0,1,0,40,-89
IL,data_engineer,0,1,0,40,-89
IL,data_engineer,0,1,0,40,-89
IL,data_engineer,0,0,0,40,-89
IL,data_engineer,0,1,0,40,-89
IL,data_engineer,0,1,0,40,-89
IL,data_engineer,0,1,0,40,-89
IL,data_engineer,0,1,0,40,-89
IL,data_engineer,1,0,1,40,-89
IL,data_engineer,0,1,0,40,-89
IL,data_engineer,0,1,0,40,-89
IL,data_engineer,0,1,0,40,-89
IL,data_engineer,0,1,0,40,-89
IL,data_engineer,0,1,1,40,-89
IL,data_engineer,0,1,1,40,-89
IL,data_engineer,0,1,1,40,-89
IL,data_engineer,0,1,1,40,-89
IL,data_engineer,0,1,0,40,-89
IL,data_engineer,0,1,0,40,-89
IL,data_engineer,0,0,0,40,-89
IL,data_engineer,0,1,1,40,-89
IL,data_engineer,0,0,0,40,-89
IL,data_engineer,0,1,1,40,-89
IL,data_engineer,0,1,0,40,-89
IL,data_engineer,1,1,0,40,-89
IL,data_engineer,0,0,0,40,-89
IL,data_engineer,0,1,0,40,-89
IL,data_engineer,1,1,0,40,-89
IL,data_engineer,0,1,0,40,-89
IL,data_engineer,0,0,0,40,-89
IL,data_engineer,0,0,0,40,-89
IL,data_engineer,0,0,0,40,-89
IL,data_engineer,1,1,0,40,-89
IL,data_engineer,0,0,0,40,-89
IL,data_engineer,0,1,0,40,-89
IL,data_engineer,0,1,0,40,-89
IL,data_engineer,0,0,0,40,-89
IL,data_engineer,0,1,0,40,-89
IL,data_engineer,0,1,0,40,-89
IL,data_engineer,0,1,0,40,-89
IL,data_engineer,0,1,1,40,-89
IL,data_engineer,1,1,1,40,-89
IL,data_engineer,0,1,0,40,-89
IL,data_engineer,0,1,0,40,-89
IL,data_engineer,0,0,0,40,-89
IL,data_engineer,0,1,0,40,-89
IL,data_engineer,0,0,0,40,-89
IL,data_engineer,0,1,0,40,-89
IL,data_engineer,0,1,0,40,-89
IL,data_engineer,1,1,0,40,-89
IL,data_engineer,0,0,0,40,-89
IL,data_engineer,0,0,0,40,-89
IL,data_engineer,0,0,0,40,-89
IL,data_engineer,0,1,0,40,-89
IN,data_engineer,0,0,0,40.273502,-86.126976
IN,data_engineer,0,0,0,40.273502,-86.126976
IN,data_engineer,0,0,0,40.273502,-86.126976
IN,data_engineer,0,0,0,40.273502,-86.126976
IN,data_engineer,1,1,0,40.273502,-86.126976
IN,data_engineer,0,0,0,40.273502,-86.126976
IN,data_engineer,0,0,0,40.273502,-86.126976
IN,data_engineer,1,1,1,40.273502,-86.126976
KS,data_engineer,0,0,1,38.5,-98
KS,data_engineer,0,0,0,38.5,-98
KS,data_engineer,0,1,0,37.839333,-84.27002
KY,data_engineer,0,0,0,37.839333,-84.27002
LA,data_engineer,0,1,0,30.39183,-92.329102
MA,data_engineer,1,0,0,45.376584,-68.972168
MA,data_engineer,1,0,0,45.376584,-68.972168
MA,data_engineer,0,0,0,45.376584,-68.972168
MA,data_engineer,0,1,0,45.376584,-68.972168
MA,data_engineer,1,0,0,45.376584,-68.972168
MA,data_engineer,0,0,0,45.376584,-68.972168
MA,data_engineer,0,0,0,45.376584,-68.972168
MA,data_engineer,0,0,0,45.376584,-68.972168
MA,data_engineer,0,0,1,45.376584,-68.972168
MA,data_engineer,0,0,1,45.376584,-68.972168
MA,data_engineer,1,1,0,45.376584,-68.972168
MA,data_engineer,1,0,0,45.376584,-68.972168
MA,data_engineer,0,0,0,45.376584,-68.972168
MA,data_engineer,0,0,1,45.376584,-68.972168
MA,data_engineer,0,0,0,45.376584,-68.972168
MA,data_engineer,0,1,0,45.376584,-68.972168
MA,data_engineer,0,1,0,45.376584,-68.972168
MA,data_engineer,0,1,1,45.376584,-68.972168
MA,data_engineer,1,0,0,45.376584,-68.972168
MA,data_engineer,0,0,1,45.376584,-68.972168
MA,data_engineer,0,1,0,45.376584,-68.972168
MA,data_engineer,0,0,0,45.376584,-68.972168
MA,data_engineer,0,0,1,45.376584,-68.972168
MA,data_engineer,0,0,1,45.376584,-68.972168
MA,data_engineer,0,1,0,45.376584,-68.972168
