Location,job_type,sql,sas,spark,java,r,lat,long
IL,data_engineer,0,0,0,0,0,40,-89
FL,data_engineer,0,0,1,0,0,27.994402,-81.760254
OH,data_engineer,0,0,1,1,1,40.367474,-82.996216
WI,data_engineer,1,0,0,1,0,44.5,-89.5
UT,data_engineer,1,0,1,1,0,39.41922,-11.950684
AL,data_engineer,1,0,0,0,1,32.31823,-86.902298
MA,data_engineer,1,0,0,1,0,45.376584,-68.972168
TX,data_engineer,1,0,0,1,0,31,-100
FL,data_engineer,1,0,0,1,1,27.994402,-81.760254
CA,data_engineer,1,0,0,1,1,36.778259,-119.417931
IL,data_engineer,1,0,0,1,1,40,-89
NY,data_engineer,1,0,1,1,0,43,-75
WI,data_engineer,1,0,0,0,0,44.5,-89.5
CO,data_engineer,1,0,0,1,1,39.113014,-105.358887
CA,data_engineer,0,0,0,0,0,36.778259,-119.417931
CA,data_engineer,0,0,0,0,0,36.778259,-119.417931
UT,data_engineer,1,0,0,1,0,39.41922,-11.950684
NC,data_engineer,1,0,0,0,0,35.782169,-80.793457
TX,data_engineer,1,0,1,1,0,31,-100
RI,data_engineer,0,0,0,0,0,41.700001,-71.5
OR,data_engineer,1,0,0,0,0,44,-120.5
CA,data_engineer,1,0,0,0,0,36.778259,-119.417931
TX,data_engineer,1,0,0,1,0,31,-100
MI,data_engineer,1,0,0,1,0,44.182205,-84.506836
PA,data_engineer,1,0,0,0,1,41.203323,-77.194527
TX,data_engineer,1,0,1,0,0,31,-100
NC,data_engineer,1,0,0,1,1,35.782169,-80.793457
TX,data_engineer,1,0,1,1,0,31,-100
WI,data_engineer,1,0,0,0,0,44.5,-89.5
CO,data_engineer,1,0,0,1,1,39.113014,-105.358887
CO,data_engineer,1,0,1,1,0,39.113014,-105.358887
OH,data_engineer,1,0,1,1,0,40.367474,-82.996216
NC,data_engineer,0,0,0,1,0,35.782169,-80.793457
CA,data_engineer,0,0,1,1,0,36.778259,-119.417931
WA,data_engineer,1,0,0,1,1,47.751076,-120.740135
AZ,data_engineer,1,0,1,1,1,34.048927,-11.093735
DC,data_engineer,0,0,1,1,0,47.751076,-120.740135
TX,data_engineer,0,0,1,1,0,31,-100
TX,data_engineer,1,0,1,0,0,31,-100
IL,data_engineer,0,0,0,1,0,40,-89
PA,data_engineer,1,0,0,0,0,41.203323,-77.194527
IL,data_engineer,1,0,1,0,0,40,-89
IN,data_engineer,1,0,0,0,0,40.273502,-86.126976
CA,data_engineer,1,0,0,0,0,36.778259,-119.417931
WA,data_engineer,0,0,0,0,0,47.751076,-120.740135
NY,data_engineer,0,0,0,1,1,43,-75
MO,data_engineer,0,0,1,1,0,38.573936,-92.60376
MA,data_engineer,1,0,0,0,0,45.376584,-68.972168
VA,data_engineer,1,0,1,1,0,37.926868,-68.024902
VA,data_engineer,1,0,0,1,0,37.926868,-68.024902
OH,data_engineer,1,0,1,0,0,40.367474,-82.996216
MD,data_engineer,1,0,1,1,0,39.045753,-76.641273
IL,data_engineer,1,1,0,1,1,40,-89
NJ,data_engineer,1,0,0,0,0,,
IL,data_engineer,1,0,0,0,0,40,-89
MI,data_engineer,1,0,1,1,1,44.182205,-84.506836
CA,data_engineer,1,0,0,0,0,36.778259,-119.417931
IL,data_engineer,0,0,0,1,0,40,-89
TX,data_engineer,1,0,0,0,1,31,-100
CA,data_engineer,1,0,0,0,0,36.778259,-119.417931
MD,data_engineer,1,1,1,1,1,39.045753,-76.641273
NJ,data_engineer,0,0,1,0,0,,
CA,data_engineer,0,0,0,1,0,36.778259,-119.417931
WI,data_engineer,1,0,1,0,0,44.5,-89.5
IL,data_engineer,1,0,0,1,0,40,-89
IL,data_engineer,1,1,0,1,1,40,-89
IL,data_engineer,0,0,0,1,0,40,-89
OR,data_engineer,1,1,0,0,1,44,-120.5
WA,data_engineer,0,0,0,1,0,47.751076,-120.740135
AZ,data_engineer,1,0,1,1,1,34.048927,-11.093735
NC,data_engineer,1,1,1,1,1,35.782169,-80.793457
NC,data_engineer,1,0,0,0,0,35.782169,-80.793457
TX,data_engineer,1,0,1,0,0,31,-100
TX,data_engineer,1,0,1,1,0,31,-100
OH,data_engineer,1,0,0,0,0,40.367474,-82.996216
IA,data_engineer,1,0,0,0,0,42.032974,-93.581543
PA,data_engineer,0,1,1,0,0,41.203323,-77.194527
IL,data_engineer,1,0,1,0,0,40,-89
IL,data_engineer,1,0,1,0,0,40,-89
NJ,data_engineer,1,0,0,0,0,,
MD,data_engineer,0,0,1,1,0,39.045753,-76.641273
NC,data_engineer,1,0,1,1,1,35.782169,-80.793457
