Location,job_type,sql,sas,spark,java,r,lat,long
MD,data_scientist,0,0,0,1,1,39.045753,-76.641273
CA,data_scientist,1,0,0,1,1,36.778259,-119.417931
NM,data_scientist,0,1,0,0,1,34.307144,-106.018066
GA,data_scientist,0,0,0,0,0,33.247875,-83.441162
GA,data_scientist,1,1,0,0,0,33.247875,-83.441162
TX,data_scientist,0,0,0,1,0,31,-100
TX,data_scientist,0,1,0,0,0,31,-100
FL,data_scientist,1,1,1,0,1,27.994402,-81.760254
AZ,data_scientist,1,1,0,0,1,34.048927,-11.093735
MI,data_scientist,0,0,0,0,1,44.182205,-84.506836
AZ,data_scientist,0,1,0,0,1,34.048927,-11.093735
OH,data_scientist,1,1,0,0,1,40.367474,-82.996216
VA,data_scientist,0,0,0,0,0,37.926868,-68.024902
CO,data_scientist,1,0,0,1,1,39.113014,-105.358887
CO,data_scientist,1,0,0,1,1,39.113014,-105.358887
NC,data_scientist,0,0,0,0,1,35.782169,-80.793457
NY,data_scientist,0,0,1,1,0,43,-75
GA,data_scientist,0,0,0,0,0,33.247875,-83.441162
CA,data_scientist,0,0,0,0,0,36.778259,-119.417931
OH,data_scientist,1,0,0,0,1,40.367474,-82.996216
OH,data_scientist,1,0,0,0,1,40.367474,-82.996216
TX,data_scientist,1,1,1,1,1,31,-100
VA,data_scientist,0,0,0,0,0,37.926868,-68.024902
GA,data_scientist,1,0,0,0,0,33.247875,-83.441162
TX,data_scientist,1,1,0,0,1,31,-100
VA,data_scientist,1,0,1,0,1,37.926868,-68.024902
IN,data_scientist,0,0,0,0,1,40.273502,-86.126976
IN,data_scientist,0,0,0,0,1,40.273502,-86.126976
IN,data_scientist,0,0,0,0,1,40.273502,-86.126976
AR,data_scientist,0,1,0,0,1,34.048927,-11.093735
MI,data_scientist,1,0,1,0,0,44.182205,-84.506836
MD,data_scientist,1,0,0,0,1,39.045753,-76.641273
TX,data_scientist,0,0,0,0,0,31,-100
NJ,data_scientist,0,0,0,0,0,39.833851,-74.871826
PA,data_scientist,1,0,0,0,0,41.203323,-77.194527
CO,data_scientist,0,0,0,1,1,39.113014,-105.358887
TN,data_scientist,1,0,0,0,0,35.860119,-86.660156
IL,data_scientist,1,0,0,0,0,40,-89
