Location,job_type,sql,sas,spark,java,r,lat,long
DC,data_analyst,0,0,0,0,0,47.751076,-120.740135
TX,data_analyst,1,0,0,0,0,31,-100
VA,data_analyst,1,0,0,0,0,37.926868,-68.024902
MD,data_analyst,0,0,0,0,0,39.045753,-76.641273
MD,data_analyst,1,1,0,0,1,39.045753,-76.641273
RI,data_analyst,1,0,0,0,1,41.700001,-71.5
CT,data_analyst,1,0,0,0,0,41.599998,-72.699997
CT,data_analyst,1,0,0,0,0,41.599998,-72.699997
TX,data_analyst,0,0,0,0,0,31,-100
PA,data_analyst,0,0,0,0,0,41.203323,-77.194527
CA,data_analyst,1,0,0,0,0,36.778259,-119.417931
MA,data_analyst,1,0,0,0,0,45.376584,-68.972168
OH,data_analyst,1,1,0,0,1,40.367474,-82.996216
CA,data_analyst,1,1,0,0,0,36.778259,-119.417931
NY,data_analyst,0,0,0,0,0,43,-75
MO,data_analyst,1,1,0,0,0,38.573936,-92.60376
MA,data_analyst,0,0,0,0,0,45.376584,-68.972168
PA,data_analyst,1,1,0,0,0,41.203323,-77.194527
CA,data_analyst,1,0,0,0,0,36.778259,-119.417931
MN,data_analyst,1,0,0,0,0,46.39241,-94.63623
CA,data_analyst,0,0,0,0,0,36.778259,-119.417931
MI,data_analyst,0,0,0,0,0,44.182205,-84.506836
MO,data_analyst,1,0,0,0,0,38.573936,-92.60376
TX,data_analyst,0,0,0,0,1,31,-100
MN,data_analyst,0,0,0,0,0,46.39241,-94.63623
CA,data_analyst,0,0,0,0,1,36.778259,-119.417931
MA,data_analyst,0,0,0,0,0,45.376584,-68.972168
MN,data_analyst,1,1,0,0,1,46.39241,-94.63623
DC,data_analyst,0,0,0,0,0,47.751076,-120.740135
MD,data_analyst,1,0,0,0,0,39.045753,-76.641273
CA,data_analyst,1,0,0,0,0,36.778259,-119.417931
TX,data_analyst,1,1,0,0,0,31,-100
CA,data_analyst,1,0,0,0,0,36.778259,-119.417931
MA,data_analyst,1,0,0,0,1,45.376584,-68.972168
TN,data_analyst,0,0,0,0,0,35.860119,-86.660156
OH,data_analyst,1,1,0,0,0,40.367474,-82.996216
GA,data_analyst,0,0,0,0,0,33.247875,-83.441162
MO,data_analyst,1,0,0,0,0,38.573936,-92.60376
MO,data_analyst,1,0,0,0,0,38.573936,-92.60376
CA,data_analyst,1,0,0,0,0,36.778259,-119.417931
WA,data_analyst,0,0,0,0,0,47.751076,-120.740135
NV,data_analyst,0,0,0,0,0,39.876019,-117.224121
CA,data_analyst,0,0,0,0,0,36.778259,-119.417931
CA,data_analyst,0,0,0,0,0,36.778259,-119.417931
WA,data_analyst,0,0,0,0,0,47.751076,-120.740135
TX,data_analyst,1,1,0,0,1,31,-100
MN,data_analyst,1,0,0,0,0,46.39241,-94.63623
MN,data_analyst,0,0,0,0,0,46.39241,-94.63623
CT,data_analyst,1,0,0,0,0,41.599998,-72.699997
NY,data_analyst,0,0,0,0,0,43,-75
WA,data_analyst,0,0,0,0,0,47.751076,-120.740135
KS,data_analyst,0,0,0,0,0,38.5,-98
PA,data_analyst,1,0,0,0,0,41.203323,-77.194527
NY,data_analyst,1,1,0,0,0,43,-75
NY,data_analyst,1,0,0,0,0,43,-75
PA,data_analyst,0,1,0,0,1,41.203323,-77.194527
OH,data_analyst,0,0,0,0,0,40.367474,-82.996216
CO,data_analyst,0,0,0,0,1,39.113014,-105.358887
PA,data_analyst,1,1,0,0,0,41.203323,-77.194527
MD,data_analyst,0,0,0,0,0,39.045753,-76.641273
TX,data_analyst,1,1,0,0,1,31,-100
CO,data_analyst,1,0,0,0,1,39.113014,-105.358887
MA,data_analyst,1,1,0,0,0,45.376584,-68.972168
TX,data_analyst,0,0,0,0,0,31,-100
